PROVINCIA DEFUNCION;CANTON DEFUNCION;PARROQUIA DEFUNCION;1/1/2020;1/2/2020;1/3/2020;1/4/2020;1/5/2020;1/6/2020;1/7/2020;1/8/2020;1/9/2020
ORELLANA;AGUARICO;SANTA MARIA DE HUIRIRIMA;;;;;1;1;;;
ORELLANA;AGUARICO;TIPUTINI;;;1;;;;1;;
ORELLANA;FRANCISCO DE ORELLANA;ALEJANDRO LABAKA;;;;;;;1;;1
ORELLANA;FRANCISCO DE ORELLANA;DAYUMA;2;;;1;1;2;2;1;
ORELLANA;FRANCISCO DE ORELLANA;EL COCA;17;12;13;14;23;46;40;25;10
ORELLANA;FRANCISCO DE ORELLANA;GARCIA MORENO;;;;;;1;;;
ORELLANA;FRANCISCO DE ORELLANA;INES ARANGO;1;1;;1;;;1;;
ORELLANA;FRANCISCO DE ORELLANA;LA BELLEZA;2;;;;;1;1;1;1
ORELLANA;FRANCISCO DE ORELLANA;NUEVO PARAISO;;1;;1;;1;;1;1
ORELLANA;FRANCISCO DE ORELLANA;SAN JOSE DE GUAYUSA;;;;;;1;1;1;
ORELLANA;FRANCISCO DE ORELLANA;SAN LUIS DE ARMENIA;;1;;;1;1;1;;1
ORELLANA;FRANCISCO DE ORELLANA;TARACOA;1;;;2;;;1;;1
ORELLANA;LA JOYA DE LOS SACHAS;ENOKANQUI;;;;1;;;2;2;
ORELLANA;LA JOYA DE LOS SACHAS;LA JOYA DE LOS SACHAS;6;5;3;3;6;4;14;8;7
ORELLANA;LA JOYA DE LOS SACHAS;LAGO SAN PEDRO;;1;;;;;;;1
ORELLANA;LA JOYA DE LOS SACHAS;POMPEYA;1;;1;;;1;;;
ORELLANA;LA JOYA DE LOS SACHAS;RUMIPAMBA;1;;;;;;1;;1
ORELLANA;LA JOYA DE LOS SACHAS;SAN CARLOS;;1;;;2;;3;;1
ORELLANA;LA JOYA DE LOS SACHAS;SAN SEBASTIAN DEL COCA;1;;2;2;1;1;1;1;
ORELLANA;LA JOYA DE LOS SACHAS;TRES DE NOVIEMBRE;;;1;;;1;;2;1
ORELLANA;LA JOYA DE LOS SACHAS;UNION MILAGRE헤;1;;;;;1;3;1;
ORELLANA;LORETO;AVILA;1;;1;5;3;6;3;5;
ORELLANA;LORETO;LORETO;3;2;1;;2;5;3;2;
ORELLANA;LORETO;PUERTO MURIALDO;1;1;1;;;2;;;
ORELLANA;LORETO;SAN JOSE DE DAHUANO;2;1;3;;1;2;1;2;1
ORELLANA;LORETO;SAN JOSE DE PAYAMINO;;1;1;;;2;;1;
ORELLANA;LORETO;SAN VICENTE DE HUATICOCHA;1;;1;;1;1;1;;
PASTAZA;ARAJUNO;ARAJUNO;1;1;;2;;2;1;;
PASTAZA;ARAJUNO;CURARAY;1;1;;;;1;1;;
PASTAZA;MERA;MADRE TIERRA;;;;;1;2;1;;
PASTAZA;MERA;MERA;;;;;;1;1;2;1
PASTAZA;MERA;SHELL;1;3;1;1;1;1;3;1;2
PASTAZA;PASTAZA;10 DE AGOSTO;2;;;;;;1;;
PASTAZA;PASTAZA;CANELOS;;1;;;;1;2;4;
PASTAZA;PASTAZA;EL TRIUNFO;1;1;;;;1;;;
PASTAZA;PASTAZA;FATIMA;;;;1;;1;2;;
PASTAZA;PASTAZA;MONTALVO;;;1;;1;;1;;
PASTAZA;PASTAZA;PUYO;22;18;20;14;17;33;49;25;19
PASTAZA;PASTAZA;SARAYACU;1;;;;;;;1;
PASTAZA;PASTAZA;SIMON BOLIVAR;3;4;;1;;;1;1;
PASTAZA;PASTAZA;TARQUI;1;2;1;2;3;;;1;
PASTAZA;PASTAZA;TENIENTE HUGO ORTIZ;;1;;;;1;1;;
PASTAZA;PASTAZA;VERACRUZ;;;1;1;1;;;1;1
PASTAZA;SANTA CLARA;SAN JOSE;;;;;;1;;;
PASTAZA;SANTA CLARA;SANTA CLARA;1;1;;2;1;;1;3;
PICHINCHA;CAYAMBE;ASCAZUBI;2;;;1;3;5;2;1;1
PICHINCHA;CAYAMBE;CANGAHUA;1;5;2;2;6;5;10;6;6
PICHINCHA;CAYAMBE;CAYAMBE;4;10;8;12;11;15;49;20;14
PICHINCHA;CAYAMBE;JUAN MONTALVO;7;1;2;3;2;1;3;6;4
PICHINCHA;CAYAMBE;OLMEDO PESILLO;3;2;1;1;1;5;4;7;3
PICHINCHA;CAYAMBE;OTON;1;1;;1;;;;1;
PICHINCHA;CAYAMBE;SAN JOSE DE AYORA;2;1;2;1;;4;4;4;5
PICHINCHA;CAYAMBE;SANTA ROSA DE CUSUBAMBA;1;1;1;;;2;1;;2
PICHINCHA;MEJIA;ALOAG;4;5;2;5;5;5;5;5;2
PICHINCHA;MEJIA;ALOASI;1;2;2;1;;4;6;5;1
PICHINCHA;MEJIA;CUTUGLAGUA;5;;3;5;9;4;9;3;3
PICHINCHA;MEJIA;EL CHAUPI;1;;;;;;1;2;1
PICHINCHA;MEJIA;MACHACHI;11;13;11;11;11;29;40;26;7
PICHINCHA;MEJIA;MANUEL CORNEJO ASTORGA (TANDAPI);2;4;2;;4;;2;2;1
PICHINCHA;MEJIA;TAMBILLO;;3;;3;2;5;8;3;4
PICHINCHA;MEJIA;UYUMBICHO;3;3;;;2;1;;4;2
PICHINCHA;PEDRO MONCAYO;LA ESPERANZA;;1;;;1;2;;;
PICHINCHA;PEDRO MONCAYO;MALCHINGUI;1;;1;1;2;3;3;2;1
PICHINCHA;PEDRO MONCAYO;TABACUNDO;2;5;4;3;2;3;5;6;2
PICHINCHA;PEDRO MONCAYO;TOCACHI;;;;;;;1;1;1
PICHINCHA;PEDRO MONCAYO;TUPIGACHI;3;;2;;2;3;1;1;
PICHINCHA;PEDRO VICENTE MALDONADO;PEDRO VICENTE MALDONADO;4;1;1;3;;4;1;8;6
PICHINCHA;PUERTO QUITO;PUERTO QUITO;7;7;6;9;6;5;10;7;2
PICHINCHA;QUITO;ALANGASI;16;20;16;20;12;25;49;24;14
PICHINCHA;QUITO;AMAGUA헤;5;8;10;8;7;9;17;14;6
PICHINCHA;QUITO;ATAHUALPA;2;2;1;;;1;;;
PICHINCHA;QUITO;BELISARIO QUEVEDO;36;27;39;48;57;57;85;90;61
PICHINCHA;QUITO;CALACALI;2;;2;1;3;1;4;4;5
PICHINCHA;QUITO;CALDERON;55;52;58;80;103;123;161;157;84
PICHINCHA;QUITO;CARCELEN;25;22;38;41;49;43;83;63;28
PICHINCHA;QUITO;CENTRO HISTORICO;23;20;26;39;39;31;72;79;54
PICHINCHA;QUITO;CHAVEZPAMBA;;1;;;1;1;;;
PICHINCHA;QUITO;CHECA;2;6;2;2;4;1;4;2;
PICHINCHA;QUITO;CHILIBULO;47;42;44;45;50;65;95;85;35
PICHINCHA;QUITO;CHILLOGALLO;27;28;29;34;42;46;57;49;35
PICHINCHA;QUITO;CHIMBACALLE;12;10;11;10;15;20;25;24;10
PICHINCHA;QUITO;COCHAPAMBA;8;5;4;12;4;10;14;13;7
PICHINCHA;QUITO;COMITE DEL PUEBLO;7;8;9;13;16;4;24;15;11
PICHINCHA;QUITO;CONOCOTO;28;25;23;34;30;49;60;64;36
PICHINCHA;QUITO;COTOCOLLAO;116;88;115;122;154;161;251;223;149
PICHINCHA;QUITO;CUMBAYA;18;13;22;16;17;20;27;21;18
PICHINCHA;QUITO;EL CONDADO;9;6;8;12;12;13;28;9;14
PICHINCHA;QUITO;EL QUINCHE;2;4;3;;7;3;6;5;2
PICHINCHA;QUITO;GUALEA;1;;;;;;;1;
PICHINCHA;QUITO;GUAMANI;26;23;18;39;35;51;62;42;41
PICHINCHA;QUITO;GUANGOPOLO;;;2;1;1;;1;2;2
PICHINCHA;QUITO;GUAYLLABAMBA;2;5;3;5;5;3;11;8;5
PICHINCHA;QUITO;I헤QUITO;27;40;35;30;40;42;63;48;27
PICHINCHA;QUITO;ITCHIMBIA;131;142;103;103;158;183;247;218;162
PICHINCHA;QUITO;JIPIJAPA;6;4;4;9;8;9;18;10;6
PICHINCHA;QUITO;KENNEDY;21;22;27;23;32;30;30;32;26
PICHINCHA;QUITO;LA ARGELIA;5;10;7;12;9;13;29;20;9
PICHINCHA;QUITO;LA CONCEPCION;11;7;5;13;12;4;33;40;17
PICHINCHA;QUITO;LA ECUATORIANA;3;1;1;11;12;7;23;11;7
PICHINCHA;QUITO;LA FERROVIARIA;8;9;6;12;15;16;14;11;12
PICHINCHA;QUITO;LA LIBERTAD;7;3;;9;4;5;8;;2
PICHINCHA;QUITO;LA MAGDALENA;20;18;14;32;26;34;34;23;19
PICHINCHA;QUITO;LA MENA;1;2;1;5;4;7;14;9;9
PICHINCHA;QUITO;LA MERCED;1;3;2;3;7;1;6;6;1
PICHINCHA;QUITO;LLANO CHICO;3;2;2;4;1;5;2;3;3
PICHINCHA;QUITO;LLOA;;;;;2;1;1;1;2
PICHINCHA;QUITO;MARISCAL SUCRE;32;32;23;15;30;27;40;33;28
PICHINCHA;QUITO;NANEGAL;;;;;1;;1;;
PICHINCHA;QUITO;NANEGALITO;2;1;2;1;;1;3;2;3
PICHINCHA;QUITO;NAYON;2;6;2;2;3;6;5;7;5
PICHINCHA;QUITO;NONO;;;2;1;;;;;
PICHINCHA;QUITO;PACTO;1;;2;1;;3;4;;4
PICHINCHA;QUITO;PERUCHO;1;1;;;1;;;;1
PICHINCHA;QUITO;PIFO;6;3;5;3;7;5;6;6;7
PICHINCHA;QUITO;PINTAG;1;8;5;3;11;13;9;16;2
PICHINCHA;QUITO;POMASQUI;10;10;9;6;10;10;15;11;9
PICHINCHA;QUITO;PONCEANO;5;5;3;2;4;4;9;8;9
PICHINCHA;QUITO;PUELLARO;2;2;;2;2;1;3;5;
PICHINCHA;QUITO;PUEMBO;3;;;6;4;1;7;9;3
PICHINCHA;QUITO;PUENGASI;13;7;7;10;5;15;26;10;12
PICHINCHA;QUITO;QUITUMBE;17;16;15;28;34;32;41;23;32
PICHINCHA;QUITO;RUMIPAMBA;17;9;16;26;27;26;24;28;17
PICHINCHA;QUITO;SAN ANTONIO;12;10;11;14;15;23;17;13;6
PICHINCHA;QUITO;SAN BARTOLO;84;76;59;74;120;187;315;278;123
PICHINCHA;QUITO;SAN ISIDRO DEL INCA;21;16;30;20;19;22;32;22;16
PICHINCHA;QUITO;SAN JOSE DE MINAS;1;2;1;3;5;1;4;3;4
PICHINCHA;QUITO;SAN JUAN;135;136;98;96;130;163;280;273;197
PICHINCHA;QUITO;SOLANDA;10;10;7;10;10;11;23;19;8
PICHINCHA;QUITO;TABABELA;2;2;2;;1;;1;1;
PICHINCHA;QUITO;TUMBACO;10;15;17;14;19;21;25;29;19
PICHINCHA;QUITO;TURUBAMBA;5;2;9;10;16;11;17;10;2
PICHINCHA;QUITO;YARUQUI;8;6;12;11;10;6;27;20;12
PICHINCHA;QUITO;ZAMBIZA;;1;1;2;;1;2;3;1
PICHINCHA;RUMI헤HUI;COTOGCHOA;1;1;1;1;;;3;;3
PICHINCHA;RUMI헤HUI;FAJARDO;3;2;1;;2;2;3;1;
PICHINCHA;RUMI헤HUI;RUMIPAMBA;;;;;;;;;1
PICHINCHA;RUMI헤HUI;SAN PEDRO DE TABOADA;2;3;2;3;2;3;2;5;3
PICHINCHA;RUMI헤HUI;SAN RAFAEL;3;1;3;2;2;7;22;14;8
PICHINCHA;RUMI헤HUI;SANGOLQUI;20;17;31;15;28;52;72;46;36
PICHINCHA;SAN MIGUEL DE LOS BANCOS;MINDO;;;;;;1;;;
PICHINCHA;SAN MIGUEL DE LOS BANCOS;SAN MIGUEL DE LOS BANCOS;3;2;4;;4;2;3;1;2
SANTA ELENA;LA LIBERTAD;LA LIBERTAD;26;24;39;269;60;23;23;43;12
SANTA ELENA;SALINAS;ANCONCITO;2;1;6;19;16;4;;1;1
SANTA ELENA;SALINAS;CARLOS ESPINOZA LARREA;;;1;;2;2;1;;1
SANTA ELENA;SALINAS;GRAL. ALBERTO ENRIQUEZ GALLO;;;;3;3;;3;;
SANTA ELENA;SALINAS;JOSE LUIS TAMAYO (MUEY);9;13;9;49;30;15;11;18;14
SANTA ELENA;SALINAS;SALINAS;7;5;4;27;12;4;4;5;4
SANTA ELENA;SALINAS;SANTA ROSA;1;3;4;49;4;5;3;;2
SANTA ELENA;SALINAS;VICENTE ROCAFUERTE;1;1;3;9;3;9;3;8;2
SANTA ELENA;SANTA ELENA;ATAHUALPA;2;2;1;12;6;1;1;1;
SANTA ELENA;SANTA ELENA;BALLENITA;1;;1;4;4;2;;1;2
SANTA ELENA;SANTA ELENA;CHANDUY;6;3;9;78;19;9;13;13;1
SANTA ELENA;SANTA ELENA;COLONCHE;9;7;7;100;37;13;5;11;7
SANTA ELENA;SANTA ELENA;MANGLARALTO;11;11;19;113;38;6;10;11;4
SANTA ELENA;SANTA ELENA;SAN JOSE DE ANCON;1;5;11;28;7;6;2;2;2
SANTA ELENA;SANTA ELENA;SANTA ELENA;40;40;57;371;136;42;34;39;33
SANTA ELENA;SANTA ELENA;SIMON BOLIVAR;;1;;7;2;2;2;1;
SUCUMBIOS;CASCALES;EL DORADO DE CASCALES;;;1;;;2;3;1;
SUCUMBIOS;CASCALES;NUEVA TRONCAL;;1;;;;1;2;;
SUCUMBIOS;CASCALES;SANTA ROSA DE SUCUMBIOS;1;;1;;;;;;
SUCUMBIOS;CASCALES;SEVILLA;1;1;;;;3;;;
SUCUMBIOS;CUYABENO;AGUAS NEGRAS;1;;;;;;;;
SUCUMBIOS;CUYABENO;TARAPOA;1;1;2;1;3;1;1;1;1
SUCUMBIOS;GONZALO PIZARRO;EL REVENTADOR;;;1;;;;1;;
SUCUMBIOS;GONZALO PIZARRO;GONZALO PIZARRO;;2;;;;2;1;2;1
SUCUMBIOS;GONZALO PIZARRO;LUMBAQUI;2;1;1;;2;;4;;3
SUCUMBIOS;GONZALO PIZARRO;PUERTO LIBRE;1;;;;;;;2;
SUCUMBIOS;LAGO AGRIO;10 DE AGOSTO;1;;;1;;;2;;1
SUCUMBIOS;LAGO AGRIO;DURENO;;;2;;1;1;1;1;
SUCUMBIOS;LAGO AGRIO;EL ENO;1;2;4;;1;4;3;3;
SUCUMBIOS;LAGO AGRIO;GENERAL FARFAN;1;;2;3;2;2;2;1;1
SUCUMBIOS;LAGO AGRIO;JAMBELI;1;1;1;1;1;2;1;3;
SUCUMBIOS;LAGO AGRIO;NUEVA LOJA;31;33;27;29;42;59;112;68;27
SUCUMBIOS;LAGO AGRIO;PACAYACU;3;1;1;2;2;3;6;1;
SUCUMBIOS;LAGO AGRIO;SANTA CECILIA;;2;;2;3;1;1;3;1
SUCUMBIOS;PUTUMAYO;PALMA ROJA;;1;;;;1;1;;
SUCUMBIOS;PUTUMAYO;PUERTO EL CARMEN DEL PUTUMAYO;1;;1;;;;1;3;
SUCUMBIOS;PUTUMAYO;SANSAHUARI;;1;;;1;;;3;
SUCUMBIOS;SHUSHUFINDI;LIMONCOCHA;2;;;1;1;1;3;1;2
SUCUMBIOS;SHUSHUFINDI;SAN PEDRO DE LOS COFANES;1;;1;;;2;4;1;2
SUCUMBIOS;SHUSHUFINDI;SAN ROQUE;1;;;1;2;;1;;
SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI CENTRAL;9;3;4;13;5;17;23;10;5
SUCUMBIOS;SHUSHUFINDI;SIETE DE JULIO;;1;2;1;2;1;4;;
SUCUMBIOS;SUCUMBIOS;EL PLAYON DE SAN FRANCISCO;;;;;;;1;;
SUCUMBIOS;SUCUMBIOS;LA BONITA;1;;;;1;1;;;
SUCUMBIOS;SUCUMBIOS;ROSA FLORIDA;;1;;;;;;;
SUCUMBIOS;SUCUMBIOS;SANTA BARBARA;;;;1;1;;;;
TUNGURAHUA;AMBATO;AMBATILLO;;1;;3;2;3;6;4;1
TUNGURAHUA;AMBATO;ATAHUALPA (CHISALATA);6;3;5;5;1;7;7;;3
TUNGURAHUA;AMBATO;ATOCHA FICOA;24;26;24;38;54;91;92;60;41
TUNGURAHUA;AMBATO;AUGUSTO MARTINEZ;1;4;4;2;6;3;7;7;5
TUNGURAHUA;AMBATO;CELIANO MONGE;3;4;4;2;5;11;24;14;4
TUNGURAHUA;AMBATO;CONSTANTINO FERNANDEZ;1;;;1;1;2;2;5;2
TUNGURAHUA;AMBATO;CUNCHIBAMBA;;1;;1;2;;3;2;2
TUNGURAHUA;AMBATO;HUACHI CHICO;6;7;5;8;9;17;27;12;11
TUNGURAHUA;AMBATO;HUACHI GRANDE;5;6;2;3;3;10;4;5;2
TUNGURAHUA;AMBATO;HUACHI LORETO;17;11;18;14;21;20;26;13;12
TUNGURAHUA;AMBATO;IZAMBA;16;14;12;11;22;29;38;17;18
TUNGURAHUA;AMBATO;JUAN BENIGNO VELA;2;3;4;4;5;5;5;7;2
TUNGURAHUA;AMBATO;LA MATRIZ;8;9;17;19;20;18;24;18;10
TUNGURAHUA;AMBATO;LA MERCED;69;55;55;65;91;136;135;88;54
TUNGURAHUA;AMBATO;LA PENINSULA;1;;;2;1;;4;;1
TUNGURAHUA;AMBATO;MONTALVO;1;1;1;1;1;2;3;2;1
TUNGURAHUA;AMBATO;PASA;5;4;3;8;8;3;4;8;1
TUNGURAHUA;AMBATO;PICAIHUA;2;5;1;3;7;10;16;4;5
TUNGURAHUA;AMBATO;PILAHUIN;6;4;1;9;5;6;7;6;3
TUNGURAHUA;AMBATO;PISHILATA;3;1;2;5;6;12;15;5;1
TUNGURAHUA;AMBATO;QUISAPINCHA;2;3;4;7;8;7;8;7;3
TUNGURAHUA;AMBATO;SAN BARTOLOME DE PINLLO;2;2;4;2;3;6;4;7;2
TUNGURAHUA;AMBATO;SAN FERNANDO;;1;;1;2;1;1;;
TUNGURAHUA;AMBATO;SAN FRANCISCO;1;;;2;1;;1;2;
TUNGURAHUA;AMBATO;SANTA ROSA;5;8;3;8;12;12;17;12;10
TUNGURAHUA;AMBATO;TOTORAS;3;2;4;2;5;5;7;3;
TUNGURAHUA;AMBATO;UNAMUNCHO;;1;;1;3;3;2;2;1
TUNGURAHUA;BA헲S DE AGUA SANTA;BA헲S DE AGUA SANTA;6;5;3;4;8;4;15;8;7
TUNGURAHUA;BA헲S DE AGUA SANTA;LLIGUA;;;;;;;;1;
TUNGURAHUA;BA헲S DE AGUA SANTA;RIO NEGRO;;;;;2;1;;1;2
TUNGURAHUA;BA헲S DE AGUA SANTA;RIO VERDE;1;;2;;;;1;;1
TUNGURAHUA;BA헲S DE AGUA SANTA;ULBA;;1;;;;2;3;1;1
TUNGURAHUA;CEVALLOS;CEVALLOS;5;5;3;1;2;5;4;4;2
TUNGURAHUA;MOCHA;MOCHA;3;2;1;;1;8;2;3;
TUNGURAHUA;MOCHA;PINGUILI;;;;;;1;1;;
TUNGURAHUA;PATATE;EL TRIUNFO;;1;;1;;1;1;;1
TUNGURAHUA;PATATE;LOS ANDES;1;;;1;;1;;3;
TUNGURAHUA;PATATE;PATATE;2;4;1;8;5;2;6;3;2
TUNGURAHUA;PATATE;SUCRE;1;1;;1;;2;;;
TUNGURAHUA;PELILEO;BENITEZ (PACHANLICA);;1;;2;1;5;4;;
TUNGURAHUA;PELILEO;BOLIVAR;;1;;;1;1;1;;2
TUNGURAHUA;PELILEO;CHIQUICHA;1;1;1;;1;;1;;4
TUNGURAHUA;PELILEO;COTALO;;1;1;2;;;;2;
TUNGURAHUA;PELILEO;EL ROSARIO (RUMICHACA);;;4;1;;;1;2;1
TUNGURAHUA;PELILEO;GARCIA MORENO;2;6;;;;3;1;;
TUNGURAHUA;PELILEO;HUAMBALO;1;1;4;5;3;7;4;6;1
TUNGURAHUA;PELILEO;PELILEO;8;9;11;10;16;19;20;13;8
TUNGURAHUA;PELILEO;PELILEO GRANDE;2;;;;2;1;2;2;
TUNGURAHUA;PELILEO;SALASACA;2;2;1;2;6;6;2;1;2
TUNGURAHUA;PILLARO;BAQUERIZO MORENO;;;;;;;;1;
TUNGURAHUA;PILLARO;CIUDAD NUEVA;;;3;2;5;2;2;3;1
TUNGURAHUA;PILLARO;EMILIO MARIA TERAN;;2;;;;2;;;
TUNGURAHUA;PILLARO;MARCOS ESPINEL;1;;;;;;1;1;
TUNGURAHUA;PILLARO;PILLARO;8;5;7;7;10;4;12;8;10
TUNGURAHUA;PILLARO;PRESIDENTE URBINA;;1;;1;1;3;3;2;
TUNGURAHUA;PILLARO;SAN ANDRES;4;4;2;;3;7;7;7;2
TUNGURAHUA;PILLARO;SAN JOSE DE POALO;;;;;;2;1;;
TUNGURAHUA;PILLARO;SAN MIGUELITO;1;1;2;1;3;4;3;3;1
TUNGURAHUA;QUERO;QUERO;4;3;3;3;6;11;10;5;5
TUNGURAHUA;QUERO;RUMIPAMBA;;;;;;1;1;1;
TUNGURAHUA;QUERO;YANAYACU;;1;;;;;;;
TUNGURAHUA;TISALEO;QUINCHICOTO;2;;;;;;1;1;
TUNGURAHUA;TISALEO;TISALEO;5;1;2;3;4;5;8;4;6
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;PANGUINTZA;;;1;;;;1;;
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;TRIUNFO - DORADO;;;;;;;;1;
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;ZUMBI;3;;2;1;1;1;1;4;2
ZAMORA CHINCHIPE;CHINCHIPE;CHINCHIPE (ZUMBA)*;;;;;;;;1;
ZAMORA CHINCHIPE;CHINCHIPE;CHITO;;;;;1;;;;
ZAMORA CHINCHIPE;CHINCHIPE;LA CHONTA;;;;;;;;;1
ZAMORA CHINCHIPE;CHINCHIPE;SAN ANDRES;;;;;1;;;;
ZAMORA CHINCHIPE;CHINCHIPE;ZUMBA;2;;1;2;2;1;3;4;
ZAMORA CHINCHIPE;EL PANGUI;EL GUISME;;;;;;3;;;
ZAMORA CHINCHIPE;EL PANGUI;EL PANGUI;3;2;2;;3;3;2;2;3
ZAMORA CHINCHIPE;EL PANGUI;PACHICUTZA;;;;;;2;;;
ZAMORA CHINCHIPE;EL PANGUI;TUNDAYME;;;;1;;;;;
ZAMORA CHINCHIPE;NANGARITZA;GUAYZIMI;;1;1;1;1;;1;;
ZAMORA CHINCHIPE;NANGARITZA;NUEVO PARAISO;;;;;;;1;;
ZAMORA CHINCHIPE;NANGARITZA;ZURMI;;;;1;;1;1;2;
ZAMORA CHINCHIPE;PALANDA;EL PORVENIR DEL CARMEN;1;;;1;;;;;
ZAMORA CHINCHIPE;PALANDA;PALANDA;1;1;1;2;;;;;
ZAMORA CHINCHIPE;PALANDA;SAN FRANCISCO DEL VERGEL;1;;;;;;;2;
ZAMORA CHINCHIPE;PALANDA;VALLADOLID;;;;;1;1;;;
ZAMORA CHINCHIPE;PAQUISHA;NUEVO QUITO;;;;;;;2;1;1
ZAMORA CHINCHIPE;PAQUISHA;PAQUISHA;;2;;;1;1;;;
ZAMORA CHINCHIPE;YACUAMBI;28 DE MAYO;1;2;;1;;4;1;1;1
ZAMORA CHINCHIPE;YACUAMBI;LA PAZ;;;1;;2;1;;1;
ZAMORA CHINCHIPE;YACUAMBI;TUTUPALI;;1;2;1;;1;;;
ZAMORA CHINCHIPE;YANTZAZA;CHICA헤;;1;2;;;;1;;
ZAMORA CHINCHIPE;YANTZAZA;LOS ENCUENTROS;;2;1;2;2;3;2;;1
ZAMORA CHINCHIPE;YANTZAZA;YANTZAZA;6;5;4;1;6;14;14;14;2
ZAMORA CHINCHIPE;ZAMORA;CUMBARATZA;;;;2;1;1;;2;2
ZAMORA CHINCHIPE;ZAMORA;GUADALUPE;;1;;;;;;2;1
ZAMORA CHINCHIPE;ZAMORA;LA VICTORIA DE IMBANA;1;;;1;;2;;;
ZAMORA CHINCHIPE;ZAMORA;SABANILLA;;1;;;;;;;1
ZAMORA CHINCHIPE;ZAMORA;SAN CARLOS DE LAS MINAS;;1;1;;;;1;2;
ZAMORA CHINCHIPE;ZAMORA;ZAMORA;7;5;3;5;7;8;7;11;1
